ts_wall_s,ts_mono_s,dt_s,backend,nic,rx_bytes_d,tx_bytes_d,rx_Mbps,tx_Mbps,rx_pkts_d,tx_pkts_d,dropin_d,dropout_d,errin_d,errout_d
1769029302.0788786,860461.362513405,,psutil,enp0s31f6,0,0,,,0,0,0,0,0,0
1769029302.0788786,860461.362513405,,psutil,wlp0s20f3,0,0,,,0,0,0,0,0,0
1769029303.0802088,860462.363840281,1.001326875993982,psutil,enp0s31f6,4927,8142,0.03936376915966938,0.06504968713172887,35,22,0,0,0,0
1769029303.0802088,860462.363840281,1.001326875993982,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029304.081528,860463.365159422,1.0013191410107538,psutil,enp0s31f6,5245,18752,0.04190472176297822,0.14981836844601865,38,37,0,0,0,0
1769029304.081528,860463.365159422,1.0013191410107538,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029305.0828884,860464.366520204,1.001360781956464,psutil,enp0s31f6,11789,20225,0.09418383633492487,0.16158012468180977,51,51,0,0,0,0
1769029305.0828884,860464.366520204,1.001360781956464,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029306.0844371,860465.368068838,1.001548634027131,psutil,enp0s31f6,4307,14476,0.03440272277288795,0.11562893309968099,30,28,0,0,0,0
1769029306.0844371,860465.368068838,1.001548634027131,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029307.0858648,860466.369496245,1.0014274070272222,psutil,enp0s31f6,5062,10678,0.04043827811764611,0.08530223898463554,33,28,0,0,0,0
1769029307.0858648,860466.369496245,1.0014274070272222,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029308.0872836,860467.370915118,1.001418872969225,psutil,enp0s31f6,6032,21808,0.04818762787735375,0.17421680847966353,41,38,0,0,0,0
1769029308.0872836,860467.370915118,1.001418872969225,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029309.0887048,860468.372336343,1.0014212250243872,psutil,enp0s31f6,4316,15666,0.034478997585815255,0.12515013349846657,28,28,0,0,0,0
1769029309.0887048,860468.372336343,1.0014212250243872,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029310.0901258,860469.373757342,1.0014209989458323,psutil,enp0s31f6,4433,10048,0.03541367720202787,0.0802699365048446,29,25,0,0,0,0
1769029310.0901258,860469.373757342,1.0014209989458323,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029311.0915387,860470.375170187,1.0014128449838609,psutil,enp0s31f6,5122,22998,0.04091818894200462,0.18372442586650178,37,38,0,0,0,0
1769029311.0915387,860470.375170187,1.0014128449838609,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029312.092431,860471.376062644,1.0008924569701776,psutil,enp0s31f6,11653,22821,0.09314087577620508,0.18240521119786973,45,41,0,0,0,0
1769029312.092431,860471.376062644,1.0008924569701776,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029513.7280087,860673.01164216,,psutil,enp0s31f6,0,0,,,0,0,0,0,0,0
1769029513.7280087,860673.01164216,,psutil,wlp0s20f3,0,0,,,0,0,0,0,0,0
1769029514.7284162,860674.012048104,1.0004059439525008,psutil,enp0s31f6,2636,1860,0.021079442927621445,0.014873962005074312,23,12,0,0,0,0
1769029514.7284162,860674.012048104,1.0004059439525008,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029515.7294211,860675.013052654,1.0010045500239357,psutil,enp0s31f6,2030,1524,0.016223702479286107,0.01217976481696159,18,12,0,0,0,0
1769029515.7294211,860675.013052654,1.0010045500239357,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029516.7307441,860676.014375457,1.0013228029711172,psutil,enp0s31f6,7129,5819,0.056956657564149235,0.04649050222552734,23,18,0,0,0,0
1769029516.7307441,860676.014375457,1.0013228029711172,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029517.7321615,860677.015794692,1.001419235020876,psutil,enp0s31f6,2554,2070,0.020403043286435444,0.016536530776398342,23,13,0,0,0,0
1769029517.7321615,860677.015794692,1.001419235020876,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029518.7337003,860678.017333798,1.001539106015116,psutil,enp0s31f6,3694,2534,0.029506586235639187,0.020240847190338307,31,17,0,0,0,0
1769029518.7337003,860678.017333798,1.001539106015116,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029519.735113,860679.018746385,1.0014125870075077,psutil,enp0s31f6,2038,1336,0.016281001668573762,0.010672923566837363,20,8,0,0,0,0
1769029519.735113,860679.018746385,1.0014125870075077,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029520.7668297,860680.050463211,1.0317168260226026,psutil,enp0s31f6,2322,1666,0.01800494043662427,0.0129182733709802,21,13,0,0,0,0
1769029520.7668297,860680.050463211,1.0317168260226026,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029521.7682116,860681.051843371,1.001380159985274,psutil,enp0s31f6,4702,3890,0.03756415545575935,0.031077108618227108,36,24,0,0,0,0
1769029521.7682116,860681.051843371,1.001380159985274,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029522.769843,860682.053476986,1.0016336150001734,psutil,enp0s31f6,2622,2668,0.020941789179066608,0.02130918898922567,20,14,0,0,0,0
1769029522.769843,860682.053476986,1.0016336150001734,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029686.9749422,860846.258575372,,psutil,enp0s31f6,0,0,,,0,0,0,0,0,0
1769029686.9749422,860846.258575372,,psutil,wlp0s20f3,0,0,,,0,0,0,0,0,0
1769029687.9762895,860847.259921098,1.0013457259628922,psutil,enp0s31f6,3622,2830,0.02893705864888646,0.022609573709649,32,18,0,0,0,0
1769029687.9762895,860847.259921098,1.0013457259628922,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029688.9774282,860848.261060884,1.0011397859780118,psutil,enp0s31f6,3276,2942,0.026178162497455287,0.02350920453831302,27,18,0,0,0,0
1769029688.9774282,860848.261060884,1.0011397859780118,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029689.9789145,860849.262547539,1.0014866549754515,psutil,enp0s31f6,10442,7326,0.0834119951424092,0.05852099946497699,46,24,0,0,0,0
1769029689.9789145,860849.262547539,1.0014866549754515,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029690.9803522,860850.263985278,1.0014377390034497,psutil,enp0s31f6,1620,1326,0.012941393653585244,0.010592770360897551,16,10,0,0,0,0
1769029690.9803522,860850.263985278,1.0014377390034497,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029691.9817927,860851.265426522,1.0014412440359592,psutil,enp0s31f6,1226,836,0.009793884622199383,0.006678374832103331,14,6,0,0,0,0
1769029691.9817927,860851.265426522,1.0014412440359592,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029692.9833307,860852.266964266,1.0015377439558506,psutil,enp0s31f6,2267,1490,0.018108154295180975,0.011901698235474042,20,11,0,0,0,0
1769029692.9833307,860852.266964266,1.0015377439558506,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029693.984847,860853.268480583,1.0015163170173764,psutil,enp0s31f6,2713,1670,0.02167113968211407,0.013339772675683927,25,13,0,0,0,0
1769029693.984847,860853.268480583,1.0015163170173764,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029694.9863293,860854.269962651,1.001482067978941,psutil,enp0s31f6,1714,1146,0.013691707958058352,0.00915443250871346,15,9,0,0,0,0
1769029694.9863293,860854.269962651,1.001482067978941,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029695.9878798,860855.271513217,1.001550566055812,psutil,enp0s31f6,2739,2035,0.021878076597062143,0.016254795865287133,27,18,0,0,0,0
1769029695.9878798,860855.271513217,1.001550566055812,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029696.9892774,860856.272910787,1.0013975700130686,psutil,enp0s31f6,5044,7748,0.0402956839604408,0.06189749391861525,30,30,0,0,0,0
1769029696.9892774,860856.272910787,1.0013975700130686,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029697.9907358,860857.274369245,1.0014584580203518,psutil,enp0s31f6,3132,1841,0.02501951009483691,0.014706551112578146,20,11,0,0,0,0
1769029697.9907358,860857.274369245,1.0014584580203518,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029698.9922912,860858.275924644,1.0015553989214823,psutil,enp0s31f6,2048,1506,0.01635855591976539,0.012029289655843104,20,11,0,0,0,0
1769029698.9922912,860858.275924644,1.0015553989214823,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029699.9938488,860859.27748261,1.0015579659957439,psutil,enp0s31f6,1887,1312,0.015072517530217667,0.010479673025779323,19,9,0,0,0,0
1769029699.9938488,860859.27748261,1.0015579659957439,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029700.9954011,860860.279033024,1.0015504140174016,psutil,enp0s31f6,1704,1398,0.013610897473767255,0.011166687011928769,16,10,0,0,0,0
1769029700.9954011,860860.279033024,1.0015504140174016,psutil,wlp0s20f3,0,0,0.0,0.0,0,0,0,0,0,0
1769029701.9969456,860861.280579165,1.001546140993014,psutil,enp0s31f6,2142,1474,0.017109546229203163,0.011773796051281728,21,11,0,0,0,0
