ts_wall_s,ts_mono_s,dt_s,cpu_logical,cpu_physical,cpu_freq_cur_mhz_mean,cpu_freq_cur_mhz_max,cpu_total_percent,cpu_mean_core_percent,cpu_max_core_percent,cpu_core_count_sampled,loadavg_1,loadavg_5,loadavg_15,procs_running,procs_blocked,ctx_switches_d,interrupts_d,soft_interrupts_d,syscalls_d,cg_nr_periods,cg_nr_throttled,cg_throttled_usec,cg_nr_throttled_d,cg_throttled_usec_d,pct_user,pct_system,pct_idle,pct_iowait,pct_irq,pct_softirq,pct_steal,pct_guest,pct_guest_nice,sec_user_d,sec_system_d,sec_idle_d,sec_iowait_d,sec_irq_d,sec_softirq_d,sec_steal_d,sec_guest_d,sec_guest_nice_d,sec_total_d,proc_cpu_sec_d_sum,proc_cpu_pct_total_sum
1769028544.3084354,859704.593264372,1.0011961070122197,12,6,1044.9596666666666,3380.542,0.3,0.25,1.0,12,0.08203125,0.173828125,0.1708984375,3,0,1380,1061,843,0,0,0,0,0,0,0.2502085070857615,0.16680567140062158,99.4995829858133,0.08340283570031079,0.0,0.0,0.0,0.0,0.0,0.029999999998835847,0.020000000000436557,11.929999999701977,0.010000000000218279,0.0,0.0,0.0,0.0,0.0,11.989999999701467,,
1769028545.3104236,859705.595292715,1.0012379110557958,12,6,1546.0807499999999,4018.143,0.6,0.3333333333333333,1.0,12,0.08203125,0.173828125,0.1708984375,1,0,1283,798,649,0,0,0,0,0,0,0.3330557868660123,0.2497918401419364,99.41715237299205,0.0,0.0,0.0,0.0,0.0,0.0,0.040000000000873115,0.02999999999974534,11.93999999947846,0.0,0.0,0.0,0.0,0.0,0.0,12.009999999479078,,
1769028546.3122525,859706.597264478,1.0013808439252898,12,6,949.9407499999999,2599.114,0.3,0.5,2.0,12,0.08203125,0.173828125,0.1708984375,1,0,945,683,529,0,0,0,0,0,0,0.16680567136887534,0.0834028356920231,99.7497914929391,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999998617568,0.010000000000218279,11.96000000089407,0.0,0.0,0.0,0.0,0.0,0.0,11.990000000892906,,
1769028547.3141458,859707.59920917,1.0014323419891298,12,6,1162.9856666666667,3569.944,0.3,0.4166666666666667,2.0,12,0.0751953125,0.1708984375,0.169921875,1,0,874,334,287,0,0,0,0,0,0,0.24979184016345052,0.08326394672115017,99.6669442131154,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000654836,0.010000000000218279,11.969999998807907,0.0,0.0,0.0,0.0,0.0,0.0,12.00999999880878,,
1769028548.3161318,859708.601213795,1.001450994051993,12,6,1049.86625,2787.648,0.4,0.25,1.0,12,0.0751953125,0.1708984375,0.169921875,1,0,969,644,482,0,0,0,0,0,0,0.08326394670669184,0.33305578681919457,99.58368026647412,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000218279,0.03999999999996362,11.96000000089407,0.0,0.0,0.0,0.0,0.0,0.0,12.010000000894252,,
1769028549.3181367,859709.603171336,1.001403326052241,12,6,1203.4914166666667,3029.714,2.0,1.7666666666666666,17.2,12,0.0751953125,0.1708984375,0.169921875,1,0,986,868,595,0,0,0,0,0,0,1.083333333333662,0.8333333333341693,97.25000000000735,0.7499999999908994,0.0,0.0833333333339143,0.0,0.0,0.0,0.12999999999919964,0.0999999999994543,11.669999999925494,0.08999999999832653,0.0,0.010000000000005116,0.0,0.0,0.0,11.99999999992248,,
1769028550.3200579,859710.605105159,1.0014162339502946,12,6,1214.2210833333331,2658.7,0.4,0.5833333333333334,2.0,12,0.0751953125,0.1708984375,0.169921875,1,0,958,499,393,0,0,0,0,0,0,0.16638935107587793,0.24958402660625037,99.58402662231786,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000436557,0.02999999999974534,11.970000000670552,0.0,0.0,0.0,0.0,0.0,0.0,12.020000000670734,,
1769028551.3220265,859711.607018033,1.0013603870756924,12,6,1864.6090833333335,4277.544,6.0,6.183333333333334,47.0,12,0.0751953125,0.1708984375,0.169921875,1,0,3440,3617,1586,0,0,0,0,0,0,5.676126878132423,0.41736227045225316,93.90651085141532,0.0,0.0,0.0,0.0,0.0,0.0,0.680000000000291,0.0500000000001819,11.25,0.0,0.0,0.0,0.0,0.0,0.0,11.980000000000473,,
1769028552.323966,859712.60813556,1.0005382359959185,12,6,1458.8115833333334,3656.185,2.2,2.0,20.0,12,0.06884765625,0.16796875,0.1689453125,1,0,2127,962,647,0,0,0,0,0,0,1.9182652212761158,0.16680567141927202,97.91492910730462,0.0,0.0,0.0,0.0,0.0,0.0,0.22999999999956344,0.020000000000436557,11.739999998360872,0.0,0.0,0.0,0.0,0.0,0.0,11.989999998360872,,
1769028553.325046,859713.610074425,1.0013973989989609,12,6,1459.8035833333333,3350.791,2.2,2.0833333333333335,20.0,12,0.06884765625,0.16796875,0.1689453125,2,0,1913,1100,738,0,0,0,0,0,0,1.9182652209573436,0.25020850707776476,97.83152627196489,0.0,0.0,0.0,0.0,0.0,0.0,0.23000000000138243,0.02999999999974534,11.730000000447035,0.0,0.0,0.0,0.0,0.0,0.0,11.990000000448163,,
