ts_wall_s,ts_mono_s,dt_s,fs_path,fs_total_bytes,fs_used_bytes,fs_free_bytes,fs_percent,disk_read_bytes_d,disk_write_bytes_d,disk_read_count_d,disk_write_count_d,disk_read_MBps,disk_write_MBps,disk_read_iops,disk_write_iops,disk_busy_time_ms_d,proc_read_bytes_d_sum,proc_write_bytes_d_sum
1769189066.4680045,1020225.751636121,1.0014663028996438,/,250375106560,143343656960,94238560256,60.3,4096,0,1,0,0.0040900028170098674,0.0,0.9985358439965496,0.0,35,,
1769189067.4694629,1020226.75309453,1.0014584090095013,/,250375106560,143343656960,94238560256,60.3,0,16384,0,2,0.0,0.016360140224100466,0.0,1.997087429699764,27,,
1769189068.4708207,1020227.754452619,1.0013580890372396,/,250375106560,143343656960,94238560256,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189069.4724102,1020228.756041898,1.001589279039763,/,250375106560,143343656960,94238560256,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189070.4739516,1020229.757585125,1.0015432270010933,/,250375106560,143343656960,94238560256,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189071.4755054,1020230.759138728,1.0015536029823124,/,250375106560,143343661056,94238556160,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189072.4768918,1020231.760523731,1.0013850029790774,/,250375106560,143343661056,94238556160,60.3,0,16384,0,2,0.0,0.016361339496056265,0.0,1.9972338252021808,66,,
1769189073.4775248,1020232.761156531,1.0006328000454232,/,250375106560,143343661056,94238556160,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189074.479009,1020233.762642677,1.0014861458912492,/,250375106560,143343661056,94238556160,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189075.480553,1020234.764186622,1.0015439450507984,/,250375106560,143343665152,94238552064,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189088.3246229,1020247.608257367,,/,250375106560,143343669248,94238547968,60.3,0,0,0,0,,,,,0,,
1769189089.3254187,1020248.609050407,1.000793039915152,/,250375106560,143343669248,94238547968,60.3,770048,8192,26,2,0.7694378051083222,0.00818550856498215,25.979397300968742,1.9984151769975955,4,,
1769189090.326438,1020249.610071241,1.0010208340827376,/,250375106560,143343669248,94238547968,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189091.3279781,1020250.611611052,1.0015398109098896,/,250375106560,143343669248,94238547968,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189092.329486,1020251.613117437,1.0015063850441948,/,250375106560,143343669248,94238547968,60.3,0,188416,0,3,0.0,0.18813259986523753,0.0,2.995487642215696,68,,
1769189093.3309367,1020252.614568123,1.0014506860170513,/,250375106560,143343669248,94238547968,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189094.3324323,1020253.616064082,1.0014959590043873,/,250375106560,143343669248,94238547968,60.3,0,212992,0,44,0.0,0.2126738486411276,0.0,43.93427612403102,32,,
1769189095.3335044,1020254.617137641,1.001073558931239,/,250375106560,143343669248,94238547968,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189096.3350093,1020255.618640871,1.001503230072558,/,250375106560,143343669248,94238547968,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189097.3364816,1020256.620112985,1.0014721140032634,/,250375106560,143343669248,94238547968,60.3,0,16384,0,2,0.0,0.016359916338066514,0.0,1.997060099861635,65,,
1769189098.3374786,1020257.621110531,1.0009975460125133,/,250375106560,143343673344,94238543872,60.3,0,4096,0,1,0.0,0.0040919181233924785,0.0,0.9990034480938669,1,,
1769189099.3389885,1020258.622619975,1.001509443973191,/,250375106560,143343673344,94238543872,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189100.3394969,1020259.623129161,1.0005091859493405,/,250375106560,143343673344,94238543872,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189101.3407722,1020260.624403596,1.0012744350824505,/,250375106560,143343673344,94238543872,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189102.3422837,1020261.625917396,1.0015138000017032,/,250375106560,143343673344,94238543872,60.3,0,49152,0,2,0.0,0.04907770616831881,0.0,1.9969769762499516,66,,
1769189103.3438315,1020262.627465317,1.0015479209832847,/,250375106560,143343677440,94238539776,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189104.3452253,1020263.628857167,1.0013918499462306,/,250375106560,143343677440,94238539776,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189105.3464978,1020264.63012932,1.0012721529928967,/,250375106560,143343681536,94238535680,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
1769189106.3474116,1020265.631043404,1.00091408402659,/,250375106560,143343681536,94238535680,60.3,0,0,0,0,0.0,0.0,0.0,0.0,0,,
